,id,text
51,174176566849449985,진짜진짜 축하해용 RT @sejungkun: 진짜로 놀랬음!!!!다들 축하해줘서 고맙습니다 여기선 한국보다 한살어리니까 그나마 다행^^ https://twitter.com/sejungkun/status/174168958512021504/photo/1pic.twitter.com/KNbgv2cM 
52,174176013218086912,@natsumingming11 잘자고 나중에 보자~
53,174175630768877568,@seongyeo1991 잘자 소정아
54,174175400556118017,인스피릿 이제 꿈나라에서 만나요~ 모두 주무세요
55,174174307382067200,@near3710 안뇽 수리야~~
56,174174011201302528, RT @littleMimiJp: aww the boy ate cream 120219 KBS2안녕하세요 녹화중-아이스크림으로 혀를 식히는 재범 http://youtu.be/ctCWKvpGjVQ  via @youtube
57,174173741713068032,"@iNoonbora 흑흑~~제가 조카들 교육을 잘못시켜서..ㅠ 나중에  엄청 큰것으로 준다합니다 ㅎㅎ 다들 참 착하고, 성실한 조카와 누이입니다!! 은영님과 같이 통통 튀는 조카들입니다~! 기회보아 소개해 드릴께요잘자요고맙습니다"
58,174173341790388224,@JuAng__ 우리애기 잘자~~
59,174172841653182465,@gkdus0929 자주올게!!
60,174172779384553472,@0416yyw 나 꼭보러와~
61,174169996199604224,@0dbqls123 앗 나다!!
62,174169644075200513,@Dongho94 당신이 잠을 많이 달려 조금 작업
63,174168064013766656,오빠 찰자~ <3  @ukissSH
64,174167968178114561,애프터스쿨  사랑해...
65,174167349132398592,"@Siwan_ZEA 

오빠♪───Ｏ（≧∇≦）Ｏ────♪낼은 드뎌오빠볼수잇게땅♪───Ｏ（≧∇≦）Ｏ────♪어뜨케.떨룡~~~착하구멋지구 귀여운표정을 보여주실꺼죵*0*??콜!!!!ㅎㅎㅎ

에리카"
66,174166032364216320,헐 ㅋㅋㅋㅋㅋ담엔 대빵큰 하트로..RT @sonipool1364: @djaak2002 제주요정님 방긋전 이젠 잠자리로요정님은 컴이니 하트가 없으시군~~흠-!!알씀욥@mulgeoni @bucciyang... http://dw.am/LzOW3 
67,174165787601412096,"@__hope_ @polkadotslover @sonipool1364 
~ 이 상 #끝 ~ "
68,174165369039241216,@djaak2002 @mulgeoni @bucciyang @january7512 @naa_bi @repleata @carrie_bless 달달한 아이스크림과. 와플 한조각을  pic.twitter.com/PCGZLluf
69,174165088754860035,@djaak2002 제주요정님 방긋전 이젠 잠자리로요정님은 컴이니 하트가 없으시군~~흠-!!알씀욥@mulgeoni @bucciyang @january7512 @naa_bi @repleata @carrie_bless
70,174164626852954114,"좋은밤 되세여~
RT @sonipool1364: @mulgeoni 누이~~미안해욥단체 맨션이군 ㅎㅎ굿 나잍@bucciyang @january7512 @naa_bi @repleata @djaak2002 @carrie_bless"
71,174164222333304832,@0727hanbi 나도 보여줘~
72,174164209293205506,@_junmi 오빠다 오빠 ㅋㅋ두살인가 한살인가 오빠다 캬캬캬캬 썸바디~ 캬 초 섹시!!!!
73,174163964295524353,@mulgeoni 누이~~미안해욥단체 맨션이군 ㅎㅎ굿 나잍@bucciyang @january7512 @naa_bi @repleata @djaak2002 @carrie_bless
74,174163665300365312,"@bucciyang 그려...난 무섭던디...도시를 휘감고 있잔오..쥐 이놈 어디로 숨었느냐일케 ㅎㅎㅎ굿 나잍
삼촌이 카이스트 가면,연락함
나중에 다시 모이긔-!! 진행하는 일은 서두르지 말긔-!!좋은 날 올겁니닭닭~"
75,174161889977307136,"너의말은~항상옳고~한참~듣다보면~하려~던말까먹~어서~우물쭈물~더듬대는~내모~습이~참~이~게~아~닌~데~그~니~까~내~말~은~지금내가~좋아한~다고~너를~말야~
으히히.귀엽따.이남쟈"
76,174161800798015488,"오늘도이런나에게많은말을주고기뻤습니다
감사합니다 .많은동료가되어절실히기쁩니다
많이귀찮게하지만사이좋게지내주세요
추종자씨가사랑지나면내일도추종자씨가행복하고있어요~에사랑해
잘자"
77,174161371846549504,"@bucciyang ""나두 잘 ㅋㅋ비서가 해줌 ㅋㅋ듣기론,이모티콘 어플 다운받고,설정가서 자판에서 한다든가..암튼 그려!! @mulgeoni @january7512 @naa_bi @repleata @djaak2002 @carrie_bless"
78,174161126249074688,"오늘도이런나에게많은말을주고기뻤습니다
감사합니다 .많은동료가되어절실히기쁩니다
많이귀찮게하지만사이좋게지내주세요
추종자씨가사랑지나면내일도추종자씨가행복하고있어요~에사랑해
잘자"
79,174158753451610115,@UKnow0206_wTH 너를잊을수없어~  오빠 ~ 사랑해요~ ㅋㅋㅋㅋ 잘자요~ 
80,174158245865340929,@moonhee0107 ㅋㅋㅋㅋ 역시 누나... 하핫
81,174157964448501762,@kadah97 에잇ㅇ_< 울언니최고라구!!! 이거 보이나?ㅋㅋ
82,174154858499276800,회의 준비 핑계로 놀다오니 책상위에 놓여진 선물을 보고오~ㅋㅋㅋ고마워요 언니 사랑해요 언니 http://lockerz.com/s/187699111 
83,174153763085496322,그린그릇이다 RT @yeondoC: 이뻐 RT @greengreut: #그린그릇_신제품 그러할연.꽃 소스볼. 예쁜 그릇으로 맛있는 (cont) http://tl.gd/g588q0 
84,174153178340794368,@LYH022812 미소천사 윤혁오빠 생일축하합니당~^^ 오빠의 미소가 너무너무 좋아해요히힛. 주말에 만나러 갈게용~!!! 오랜만이니까 일본에서 기다리고있어요^^ 지금부터 긴장하고잇또요...-.-;;;ㅋㅋㅋ 짜!!! 좋은하루 보내세용~ 히토미
85,174152120621211648,@mikipon11 우리miki가 한국어 잘해요사랑해ps：저도 22살이에요 90년 지만 ㅋㅋㅋㅋㅋ
86,174150518518714368,"@__hope_ 해라님 여행의 피곤함~편안한 잠자리 드시고,푸세요@polkadotslover 굿 to the 잠 잘자욥소녀님..잘 지내고 계신는거죠..??!! pic.twitter.com/M0hlb7yN"
87,174150513821093888,@kadah97 ㅠㅠ진심고맙데이언니~~ 울언니가 최고랑께
88,174149885464023041,@ryeong9 오빠 make 케익 too! 
89,174149392335519744,"@N_CStar 
매일 Tweet 한다고 선언했지만, 원래 나는 재미가 없는 인간이기 때문에, 내용이 얇다ㅠㅠ어떻게 하면 좋은 것인가? 그러나, 인사만은, 제대로! 안녕히 주무세요. 나에게 좋은 꿈을, 보여줘 주십시오

★호키★"
90,174148904064000000,멋져  RT @/sarakxiah: 세쿠시 RT @/babylove_jyj 몬가 설명 할 수 없는 표정... 좋당...ㅜㅜ http://twitpic.com/8peo0q  http://twitpic.com/8peo59 
91,174148513054199808,@mulgeoni @january7512 @naa_bi @repleata @djaak2002 @carrie_bless @bucciyang 굿 나잍~사람사는 정~식구님들좋은 꿈 꾸어요 pic.twitter.com/2Pyyz4fi
92,174144748918022145,"@Duncan787 @bundang77 @khoon69
행복한 점자리 드세요
내일을 위하여~!! pic.twitter.com/o3tkd0g0"
93,174143568376627200,@infiniteyounges 이성종 고마웠습니다INFINITE 고마웠습니다굿나잇
94,174138935608475648,@song_chinazzang 카카
95,174138793153142786,@dlwnsghek 근데 오빠 소고는 어디서 그딴식으로 배웠어요...그거만 빼곤 나머진 좋았어요마이 에인젤
96,174138134571913216,와하항~~우리 엄마가 너무고마웡~! 엄마가 나에게이걸 구입이 시간에집에가~ㅠㅠ 진짜 구마엉!ㅠㅠ 귀엽다아아앙흑흑 http://yfrog.com/esespcjkj 
97,174138097188077568,"@Quanninomarley  히히~
이제 선공개곡 공개 시간이 약 30분 남았습니다요!!!

완전 떨리구!
완전 기대되규!!!

꺄아아아아아~~~"
98,174137955466756097, RT @kimseongjoo: 봉주7회. 핵폭탄예고 떨립니다.
99,174137309220970497,@Kangnam11 옴마 완전 귀여워라.
100,174134218849394689,요새 페북하는 여자라 트윗을 버렸었음ㅋㅋ 오늘도 모인 애들과 구질구질하게 방안에서 지갑과 주머니 가방 집 다 뒤져서 모았다 아....일년만에 다시 이짓을 하다니....내년엔 이러지 말자 진짜 
101,174132398680846340,RT @koreawife: @zoemyung ㅋㅋ성형충만이라 쓰셨어요~이렇게 영육간에 기쁨을 주시는군요^^*
102,174130561709903872,"앗 곽민정선수..귀여워^^ RT @hudadak12: 울 민정양 이쁘게 파마한날~~건조한 머릿결은 아니아니 아니되오~~ 이희에센셜 미스트로 촉촉하게 마무리~~
http://yfrog.com/oef55hlj "
103,174129929842208768,@Miel_Jade 정말 그런 기계 있으면 좋겠어요.  연예인 메이크업 별로 고를수 있고 딥클렌징까지~
104,174129240399290369,@_SsoSso87 하..퐈이팅임돠
105,174125176663965696,@jeain_ 옆에 여자분누구???
106,174112771972136961,@JuAng__ 안뇽 우리애기
107,174112575011819520,@hyundoki 시간이 나면 올게~~
108,174112499849900032,@pohlijk012 고마워
109,174112411337506816,@_woo_hyun 더더더 좋아하면 되지~~
110,174112367028871168,FINALLY!!!! BIRTHDAY BOYYYYYYY  RT @TEEN_TOP: http://twitpic.com/8pddg6   역시 생일은..아이 좋아라 ㅎㅎ감사합니다~ 모두 복 받으실꺼에요ㅎㅎ
111,174111846310215680,@sandle22 하트가 엄청~ 많다!!!
112,174111257627074560,@_woo_hyun 고마워 예지야~~
113,174110925165572096,@pohlijk012 나도 사랑해
114,174110673087893504,@jilee0326 나도 사랑해요
115,174110435023392768,@Se0ngyeol1991 고마워
116,174110046643433472,@sandle22 난 더더더
117,174109693801807872,@x3gx130xs2x 고마워요!!^~^ 화이팅
118,174109413815226368,@Se0ngyeol1991 알았어~~
119,174109360065232896,@_B2S2INF_ 나도 보고싶었어~~
120,174108990496710656,@pohlijk012 하트
121,174108632647086080,@pinkgirl4933 진짜?? 고마워~~
122,174108505031188480,@pdems0313 하트뿅
123,174108045134135297,@chsyu 다 읽지
124,174107330651230208,@spirit_dwb 그럼 보고자면 되겠다~
125,174106664990015488,@hobaby_pane 감사합니다아~!
126,174106582274162688,@INFINITE_sol 그래도~~
127,174105781334061057,@pohlijk012 응~~!
128,174105477871964160,@1scoopofsky 와 애교다 
129,174104671215026176,@tlzmflt04 그렇지!!!!
130,174104557599731713,@beaurit_ROPO 약소옥~~!
131,174104422874484736,@hobaby_pane 네에~~
132,174104401617752066,머싯어 머싯어 Top http://instagr.am/p/HgjShZgsYR/ 
133,174104353475538944,@INFINITE_sol 고마워어
134,174104311826096129,@infisuni 소영이는 꼭 봐줄거라 믿어어~!
135,174103197600841728,“@donghae861015: 오늘 다같이 만든 케익^^ pic.twitter.com/pYxjJ2z5”good evening my Donghae ♪(´ε｀ )
136,174102975583756288,인스피릿 오늘 자정에 공개되는 영상 꼭 봐주세요~~
137,174102769530183681,@donghae861015 woOow 오빠  it's look sooo perfect and delicious ㅋㅋ^^ I want some to eat it ^^ 부디 몸조심하세요!! 화이팅!! 오빠~사랑해
138,174102212031676418,@yunwrite 네에에에에에에복 받으실 거에용 쌤 ㅎ
139,174101705959550977,@hannahandjane 오호 기대기대 
140,174101205805563904,@donghae861015 woOow 오빠  it looks sooo pretty and perfect ^^ take care of yourself okay ^^ 화이팅!! 오빠~사랑해
141,174100143010889728,ukiss은 우리의 모든 것! #Ukiss 
142,174097982113845248,3분으로 정정 “@first0930: 3분입니다. “@barSHA_bot: 5분만에 사라진 빠샤 피자 +_+ pic.twitter.com/J8VPVb7x””
143,174096713731149824,@Miajyj @noopie910 @mirrormin @78theBona 좋아 ~  pic.twitter.com/THuo24Cf
144,174096263099322369,ลุงงงงงงงงงงง  RT @dlwnsghek: ㄴ ㅏ 지금 먹는다 라면. With 창민이형~~ㅋㅋ http://yfrog.com/obkenftj 
145,174087167310696448,나의 첫도전 막창 love it! 완전 고소하다 히릿^.^ http://twitpic.com/8pcewg 
146,174086265912823808,어제에 이은 연타석 탕수육!! 난 행복한 남자  http://instagr.am/p/HgbFQkrEQQ/ 
147,174082628985692160,"샤넬 귀걸이랑

펜디 카멜레온 백이랑

로에베 메이백 ㅋㅋ

원츄

돈이 없다... 흐규흐규"
148,174082099077324800,이히히이쁜 지은언니가 꼬맹이 인형을 선물로 줬어영 ㅎ 티바니도 동생 생겼네용ㅎ저절로 마음이 넓어지는 곳 ㅎ 티포이입다용 ㅋ http://yfrog.com/kiwa9roj 
149,174081724366594049,이 레드불 같은 사람
150,174081250494119936,@jntwjc0904 수고수고
151,174079870081564672,이태리에있는 트친님께서 보내주신 와인 농담삼아 한말에 진짜로 보내주셨다~!!! @hj0f님 감솨합니다 http://instagr.am/p/HgYF38PrWc/ 
152,174078510032367617,@bore389 맛있게 드세요 @hangillo @duncan787 @ahramjjang1 @moonysinger @sunhaeim 맨토님들께서도 맛저하세요
153,174078097048616960,@eunhee2015 '넝굴당' 느무느무 재미져요~~~~!!>_< 유준상씨 캐릭터랑 완전 잘 어울림~~~ 주말 8시 심심했는데 기다려집니다~~~
154,174074124921077760,이런 남자~“@jungminann: 왜그럴까 우린 서로에게 욕심이 참 없어서 함께 있을 때에도 아무것도 안 해도 늘 충분해 굳이 보지 않아도 다 읽히는 내 눈이 참 신기해 왜 그럴까 나는 그냥 네맘을 모두 다 알 수 있는 것 같아”
155,174073734284578816,@boobagraphy 난 요즘 대추토마토랑 그린빈에 빠졌오 그게 최고야ㅎㅎㅎ
156,174071527803846656,@goghyaindk 와우~~ 대천 바다 멋지다
157,174071036940271616,@GracefulDayLIM @littlejusaram 전도사님 안녕하세요 ? 평강의 왕이신 주님과 함께 평안히 잘 지내고 있습니다 ~ 필리핀 성전에도 주님의 평강이 넘치길 바랍니다 ~^^ 저도 슝 ~~~~ 가고시뽀용  모두 화이팅입니다 ~
158,174069540639088640,@imSMl 오빠가 전 너무 보고 싶어요 ㅠ .. 오늘은 오빠 일이 바빠요..? 많이 피곤해야? .. 건강하세요 화이팅!! 
159,174066016085749760,버터핑거 오믈렛 빅팻 제이스 스페셜 pic.twitter.com/vFBAyhCF
160,174065916097736704,버터핑거 자이언트 엘리게이터 pic.twitter.com/B6lVGBLE
161,174058138067140608,"@__hope_ 급 방긋해라님
잘 다녀오셨군요
아름다운 추억여행부럽 ㅎㅎ
시국이 시끄럽사옵니다
일단 맛저하세욥 pic.twitter.com/8wweTwyM"
162,174053225790574592,스킨푸드 신봉자.. 사실 에뛰드 비비는 선물받아놓고 안써서 장식용임 pic.twitter.com/j6pbZykt
163,174052305790971904,꺄! 엄마가 커피빈 텀블러 기프티콘받아서 연핑크텀블러 나 준댔당 헤헤 좋다두근두근 엄마야 계모임 빨리 끝내구 와랏
164,174052301848322048,@2PMagreement211 ~홍홍홍홍홍홍 
165,174042964920778752,귀 엽 다 ~ pic.twitter.com/GRZGodW
166,174042557746122752,언니가 학교 과사 알바 되면 꼬기 사준갔는데 방금 과사에서 전화왔다!!!!! 꼬기! 꼬기!
167,174037824440500224,@2AMkwon  도와주고 싶어요 권아 ~~~~~~ 누나 오늘은 원래 회사일 때문에 화가 많이 났어요!!  근데 ~~ 권이 귀여운 얼굴을 보자마자 웃었고 기분이 좋아졌어요!!  권아 고마워요!! 
168,174037287288573952,"@ahramjjang1 @hangillo @duncan787 @bore389 @moonysinger @sunhaeim
신문희교수님의길 없는 길들어보셔요.   http://www.youtube.com/watch?v=EoR8jRwcVEU&feature=youtube_gdata_player …"
169,174036589922627584,홧팅~ RT @hontas4: 오늘 박민영 음료 광고 촬영장에서도 빛을 발하고 있다요! RT @qkrtjsal1019: 마리끌레르 3월호에... http://dw.am/LzJmj 
170,174035264107327489,@bucciyang @mulgeoni @january7512 @naa_bi @repleata @djaak2002 @carrie_bless 추억의 꽃미남.     http://www.youtube.com/watch?v=9xtTP3dk4EY&feature=youtube_gdata_player …
171,174033748034191362,오빠가섭섭해할까봐....글남김ㅋㅋ오늘춥지않아?옷따뜻하게입고쉬엄쉬엄해
172,174033730392965122,@bucciyang @mulgeoni @january7512 @naa_bi @repleata @djaak2002 @carrie_bless 속삭이세요.    http://www.youtube.com/watch?v=YvebovABt6E&feature=youtube_gdata_player …
173,174033321846771712,프로포즈 받는 여자임.후훟♬ RT @biny0408: @옥이 결혼하쟝~꺄~ㅋㅋㅋㅋㅋ
174,174033103310958593,"@ahramjjang1 @hangillo @duncan787 @bore389 @moonysinger @sunhaeim
답답하세요.??!! 날려버리새욥.   http://www.youtube.com/watch?v=uNofXKppggQ&feature=youtube_gdata_player …"
175,174026932952907776,"맛나게 생긴아이로군요!

RT @_itsmejoy OPS 타르트 오 쇼숑 노르만디 pic.twitter.com/2R2Gh8V7"
176,174025718152437760,OPS 타르트 오 쇼숑 노르만디 pic.twitter.com/EiSQvgm1
177,174024899487215616,@ChoiZwee aaaaaawwww guuaapaa  oks oks :$ ㅅ 벼ㅑㄷㄱㅐ 
178,174024587535859712,드라마 오디션....대본읽는중!!!읽을수록 잼난다...ㅎㅎㅎ 퓨전사극!!!나랑 어울리겠지
179,174022213266194432,귀엽디RT @LYuMin: 사랑스런 강민혁 /////pic.twitter.com/E4KjsIKT
180,174019005139529728,졸업!  pic.twitter.com/rrJNhBdr
181,174016875041263616,@imppana 부산 가더니 여유로워져서 그릉가 문학소녀가 되었네~울 빠나
182,174004899720335360,@Repleata 굿 아이디어
183,174003076246667265,@petite_nanyoung 굿에프터헤헿
184,174001675370102785,드디어 봄이 왔나보다 날씨가 완전~~사랑스러워
185,174001305952600064,@KIMHUIJIN 우악 땡큐우~~~헤헤 알라븅 
186,174000685464043521,@YJH1024OK 웅
187,173994082211868673,이준이 내맘에들어왔다 요즘 내가 하는 일은 이준 검색해서 몇시간이고 이준만 보긔다행이 나보다 오빠다 그래서 으즈므니 스릉흔다
188,173986792595394560,이이뻐어어 ㅋㅋㅋㅋ.  RT @kmj0606: 캬캬캬~ 이뽀  http://instagr.am/p/HftwkOR4uu/ 
189,173982872867315712,꺄>.< 겸둥이 쁨이 http://yfrog.com/ocyp4bqj 
190,173982146011217920,WoW..... 안구정화!!!!  pic.twitter.com/qcx9CqN
191,173981278960484353,@s0708080 @gpwjd9548 블루반짱청민쌤><ㅋㅋㅋㅋㅋ
192,173981277706399746,"예~이!!!!!
인정언니 @sarahlee131 랑 
트친됐다
아이, 좋아 ㅋㅋㅋㅋ"
193,173980088323420161,@2PMagreement211 찬성아 
194,173976885468991488,@InterparkTicket 공연실황을 극장에서 보고 락과 클래식을 접목했다는 거 외에도 멋진 무대조명과 의상 그리고 배우들의 연기와 노래까지 멋져서 완전 팬이 됐습니다.성남공연도엄청 기대되네요!!
195,173975473200697344,@BAP_Youngjae 더 아름 다운 세상을 만드는 사람을 찾고 세계에서 가장 아름 다운 사람이 보이지 않습니다! Have a nice day  pic.twitter.com/wdVFxFZB
196,173974842788417537,@shfly3424 더 아름 다운 세상을 만드는 사람을 찾고 세계에서 가장 아름 다운 사람이 보이지 않습니다! Have A nice day 
197,173969638718316546,@ukissSH 굿모닝~ 질 지내요? It's almost bedtime for me! I'll dream of you  what are you doing today?
198,173963001995599872,"@tapjinho 진호 잘 있니?
너네 넘 보고싶던 참에 이 사진 보니까 너무 좋다우리 얼른 또 김밥 싸갖고 소풍 가자ㅎㅎ"
199,173958977321832448,술마신 다음날 육개장을 왜 찾는지 이제 이해가 간다!! 아 시원해
200,173957429179072513,2월 내내 삼일절 생각만 했어..드디어 이번주 구나
201,173950449911742464,"My boyfriend eh-eheh!!! 나는 남자친구은 사랑~~~ ^ㅂ^  (w/ @GeumHyeSook & Vanessa  at My Seoul, South Korea Room) [pic] — http://path.com/p/2yUytf "
202,173947877889015809,@athenakim 네에~~언니 감사해용 
